English,Vietnamese,POS,English Sentence,Vietnamese Sentence,English example,Vietnamese example
patten,đế lót dày,n, The fingerprint pattern was unique to the individual. , Vân tay là duy nhất đối với mỗi cá nhân.,PENDING,PENDING
periblepsis,nhìn chằm tâm thần,n,"  Periblepsis, a wild or staring look, can be a symptom of certain psychiatric conditions or intense emotional states.  ","  Nhìn chằm tâm thần, một cái nhìn hoang dại hoặc trừng trừng, có thể là một triệu chứng của một số tình trạng tâm thần hoặc trạng thái cảm xúc mãnh liệt.",PENDING,PENDING
glossology,môn học về lưỡi,n,"  A specialized branch of glossology might focus on the anatomy, physiology, and pathology of the tongue (glossa) itself, as a vital organ for speech, taste, and deglutition. ","  Một nhánh chuyên ngành của môn học về lưỡi có thể tập trung vào giải phẫu, sinh lý và bệnh lý của chính lưỡi (glossa), như một cơ quan quan trọng cho lời nói, vị giác và nuốt.",PENDING,PENDING
arcus palpebralis superior,cung mi trên,n, The arcus palpebralis superior is the superior palpebral arterial arch supplying the upper eyelid. , Cung mi trên là cung động mạch mi trên cung cấp máu cho mi mắt trên.,PENDING,PENDING
Negri bodies,thể Negri,n, Negri bodies are characteristic eosinophilic inclusions found in the cytoplasm of nerve cells infected with the rabies virus. , Thể Negri là các thể vùi ưa eosin đặc trưng được tìm thấy trong bào tương của các tế bào thần kinh bị nhiễm virus dại.,PENDING,PENDING
sulcus hippocampalis,rãnh hải mã,n,"  The sulcus hippocampalis, or hippocampal sulcus, is a groove on the medial surface of the temporal lobe that separates the parahippocampal gyrus from the subiculum and hippocampus proper. ","  Rãnh hải mã, hay sulcus hippocampalis, là một rãnh trên mặt trong của thùy thái dương, ngăn cách hồi hải mã cạnh với vùng dưới đồi và hồi hải mã thực sự.",PENDING,PENDING
elastoma,u mô đàn hồi,n, An elastoma is a benign skin tumor composed primarily of elastic tissue. , U mô đàn hồi là một khối u da lành tính bao gồm chủ yếu là mô đàn hồi.,PENDING,PENDING
sexduction,chuyển,n," Sexduction, also known as F-duction, is a process in bacterial genetics where a segment of bacterial chromosome incorporated into an F plasmid is transferred to a recipient cell during conjugation. "," Chuyển, còn được gọi là F-duction, là một quá trình trong di truyền học vi khuẩn, trong đó một đoạn nhiễm sắc thể vi khuẩn được tích hợp vào plasmid F được chuyển sang tế bào nhận trong quá trình tiếp hợp.",PENDING,PENDING
histohematogenous,hình thành do mô và máu,a,"  Some immune complexes are histohematogenous, forming from components of both tissue and blood.  ","  Một số phức hợp miễn dịch được hình thành do mô và máu, tạo thành từ các thành phần của cả mô và máu.",PENDING,PENDING
chorioptic acariasis,bệnh ghẻ do Chorioptes,n," Chorioptic acariasis, caused by Chorioptes mites, is a common mange in cattle and horses, affecting the lower legs. ","Bệnh ghẻ do Chorioptes , do ve Chorioptes gây ra, là một bệnh ghẻ phổ biến ở gia súc và ngựa, ảnh hưởng đến phần dưới chân.",PENDING,PENDING
maize,vàng nhạt,a,"  The patient's complexion was a pale maize color, suggesting possible anemia or jaundice.  ","  Da của bệnh nhân có màu vàng nhạt, gợi ý khả năng thiếu máu hoặc vàng da.",PENDING,PENDING
imparidigitate,lẻ số ngón,a," Horses are imparidigitate, meaning they have an odd number of toes (one) on each foot. "," Ngựa là động vật lẻ số ngón, nghĩa là chúng có một số ngón chân lẻ (một) trên mỗi bàn chân.",PENDING,PENDING
eccentric,xa tâm,a, An eccentric muscle contraction occurs when the muscle lengthens under tension. , Sự co cơ lệch tâm xảy ra khi cơ dài ra dưới sức căng.,PENDING,PENDING
infraconstrictor,cơ khít hầu dưới,n,"  The inferior pharyngeal constrictor muscle, or infraconstrictor, aids in swallowing.  ","  Cơ khít hầu dưới, hay cơ co thắt dưới, hỗ trợ quá trình nuốt.",PENDING,PENDING
Evoxac,thuốc Evoxac,n, Evoxac is prescribed to stimulate saliva production in patients suffering from dry mouth. , Thuốc Evoxac được kê đơn để kích thích sản xuất nước bọt ở những bệnh nhân bị khô miệng.,PENDING,PENDING
thought withdrawal,tư duy bị thu hồi,,"  Thought withdrawal is the delusional belief that thoughts have been ""taken out"" of the patient's mind.  ","  Tư duy bị thu hồi là niềm tin hoang tưởng rằng những suy nghĩ đã bị ""lấy ra"" khỏi tâm trí của bệnh nhân.",PENDING,PENDING
sclerocornea,củng giác mạc,, Scleroconjunctivitis is inflammation of both the sclera and the conjunctiva.  ,  Viêm củng kết mạc là tình trạng viêm của cả củng mạc và kết mạc.,PENDING,PENDING
fluidextract,dịch chiết xuất,n," The pharmacist prepared a tincture by macerating the crude drug in alcohol, followed by percolation to obtain a potent fluidextract that captured the desired active compounds for medicinal use. ","Dược sĩ đã chuẩn bị một loại cồn thuốc bằng cách ngâm dược liệu thô trong cồn, sau đó chiết nhỏ giọt để thu được một dịch chiết xuất mạnh mẽ giữ lại các hợp chất hoạt tính mong muốn để sử dụng làm thuốc.",PENDING,PENDING
pyopyelectasis,giãn bể thận mủ,n,  Pyopyelectasis is dilation of the renal pelvis due to an accumulation of pus.  ,  Giãn bể thận mủ là sự giãn nở của bể thận do tích tụ mủ.,PENDING,PENDING
epididymovasostomy,mở thông mào tinh hoàn ống tinh,, Epididymovasostomy is a microsurgical procedure to bypass an obstruction in the epididymis and restore fertility. , Mở thông mào tinh hoàn ống tinh là một thủ thuật vi phẫu để đi vòng qua một chỗ tắc nghẽn trong mào tinh hoàn và phục hồi khả năng sinh sản.,PENDING,PENDING
pli courbe,hồi nếp cong,French,  Lesions in the pli courbe can lead to Gerstmann syndrome.  ,  Tổn thương ở hồi nếp cong có thể dẫn đến hội chứng Gerstmann.,PENDING,PENDING
Binet-Simon test,thử nghiệm Binet-Simon,,  The Binet-Simon test was the precursor to modern IQ tests.  ,  Thử nghiệm Binet-Simon là tiền thân của các bài kiểm tra IQ hiện đại.,PENDING,PENDING
baroscope,nghiệm áp,n, A baroscope is an instrument used to demonstrate that in a vacuum all bodies fall with the same velocity. , Nghiệm áp là một dụng cụ dùng để chứng minh rằng trong chân không mọi vật rơi với cùng một vận tốc.,PENDING,PENDING
tenontography,mô tả gân,n,"  Tenontography, the descriptive study of tendons, involves detailing their anatomical structure, attachments, vascular supply, and biomechanical properties. ","  Mô tả gân, nghiên cứu mô tả về gân, bao gồm chi tiết cấu trúc giải phẫu, điểm bám, nguồn cung cấp mạch máu và các đặc tính cơ sinh học của chúng.",PENDING,PENDING
operator,gen chỉ huy,n,"  In genetics, an operator is a segment of DNA to which a repressor protein binds to regulate gene expression. ","  Trong di truyền học, gen chỉ huy (operator) là một đoạn DNA mà protein ức chế liên kết để điều chỉnh biểu hiện gen.",PENDING,PENDING
Papillomaviridae,virut papilloma,n, Papillomaviridae is a family of viruses that can cause warts and are associated with certain types of cancer. , Virut papilloma là một họ virus có thể gây ra mụn cóc và có liên quan đến một số loại ung thư.,PENDING,PENDING
Tequin,thuốc kháng sinh,n,"  Tequin (gatifloxacin) was a fluoroquinolone antibiotic used to treat various bacterial infections, but its use became restricted due to concerns about serious side effects like dysglycemia. ","  Tequin (gatifloxacin) là một loại thuốc kháng sinh fluoroquinolone được sử dụng để điều trị các bệnh nhiễm khuẩn khác nhau, nhưng việc sử dụng nó đã bị hạn chế do lo ngại về các tác dụng phụ nghiêm trọng như rối loạn đường huyết.",PENDING,PENDING
pelvicephalometry,đo khung chậu đầu thai nhi,,  Pelvicephalometry is the measurement of the dimensions of the fetal head and the maternal pelvis to determine if a vaginal birth is possible.  ,  Đo khung chậu đầu thai nhi là phép đo kích thước của đầu thai nhi và khung chậu của mẹ để xác định xem có thể sinh ngả âm đạo hay không.,PENDING,PENDING
hemostasia,"cầm huyết, cầm máu",, Surgical hemostasia was achieved using electrocautery and absorbable sutures. ," Việc cầm huyết, cầm máu trong phẫu thuật đã được thực hiện bằng dao điện và chỉ tự tiêu.",PENDING,PENDING
pseudosolution,dung dịch giả,n,  A colloidal dispersion can be considered a pseudosolution because the dispersed particles are larger than those in a true solution but remain suspended.  ,  Huyền phù keo có thể được coi là một dung dịch giả vì các hạt phân tán lớn hơn các hạt trong dung dịch thực nhưng vẫn lơ lửng.,PENDING,PENDING
pseudoanemia,thiếu máu giả,n,  Pseudoanemia is a condition where the red blood cell count is normal but the patient appears pale due to other factors like vasoconstriction.  ,  Thiếu máu giả là tình trạng số lượng hồng cầu bình thường nhưng bệnh nhân trông nhợt nhạt do các yếu tố khác như co mạch.,PENDING,PENDING
peinotherapy,liệu pháp nhịn ăn,n,"  Peinotherapy, or therapeutic fasting, should only be undertaken under strict medical supervision.  ","  Liệu pháp nhịn ăn, hay nhịn ăn trị liệu, chỉ nên được thực hiện dưới sự giám sát y tế chặt chẽ.",PENDING,PENDING
pananxiety,lo lắng miên man,n," The patient suffered from pananxiety, experiencing a pervasive and non-specific sense of dread. ","Bệnh nhân bị lo lắng miên man , trải qua cảm giác sợ hãi lan tỏa và không đặc hiệu.",PENDING,PENDING
nucleus lentiformis,nhân đậu,,"  The nucleus lentiformis, or lenticular nucleus, is a large, lens-shaped mass of gray matter in the forebrain.  ","  Nhân đậu, hay nhân bèo, là một khối chất xám lớn, hình thấu kính trong não trước.",PENDING,PENDING
Perthes disease,bệnh Perthes,n," Perthes disease, also known as Legg-Calvé-Perthes disease, is a childhood hip disorder characterized by avascular necrosis of the femoral head, leading to pain, limping, and restricted motion. "," Bệnh Perthes, còn được gọi là bệnh Legg-Calvé-Perthes, là một rối loạn hông ở trẻ em đặc trưng bởi hoại tử vô mạch của chỏm xương đùi, dẫn đến đau, đi khập khiễng và hạn chế vận động.",PENDING,PENDING
rash,ngoại ban,n,"  A morbilliform rash, characterized by erythematous macules and papules resembling measles, can be a manifestation of various viral infections, drug reactions, or systemic illnesses. ","  Ngoại ban dạng sởi, đặc trưng bởi các dát và sẩn ban đỏ giống như bệnh sởi, có thể là biểu hiện của nhiều bệnh nhiễm virus, phản ứng thuốc hoặc bệnh hệ thống khác nhau.",PENDING,PENDING
Adhatoda,chi Xuân tiết,n," Adhatoda vasica is a medicinal plant used in traditional Ayurvedic medicine, primarily for respiratory ailments. ","Chi Xuân tiết vasica là một cây thuốc được sử dụng trong y học Ayurvedic truyền thống, chủ yếu cho các bệnh về đường hô hấp.",PENDING,PENDING
angiologia,tim mạch học,n,"Angiologia is the Latin term for angiology, the study of the circulatory and lymphatic systems.","Tim mạch học là thuật ngữ Latin cho khoa mạch máu, nghiên cứu về hệ tuần hoàn và bạch huyết.",PENDING,PENDING
contractility,co,n, The contractility of the heart muscle determines its pumping ability. , Khả năng co của cơ tim quyết định khả năng bơm của nó.,PENDING,PENDING
induration,đám cứng,n,"  An induration, or hardened area, may form around a chronic inflammatory lesion.  ","  Một đám cứng, hoặc vùng bị chai cứng, có thể hình thành xung quanh một tổn thương viêm mạn tính.",PENDING,PENDING
splenography,chụp lách,n," Certain enzymes or biological compounds are tempolabile, meaning their activity or stability decreases significantly over time, even under optimal storage conditions, which is an important consideration in pharmacology and laboratory diagnostics. ","	Một số enzyme hoặc hợp chất sinh học bị biến hóa theo thời gian, có nghĩa là hoạt động hoặc sự ổn định của chúng giảm đáng kể theo thời gian, ngay cả trong điều kiện bảo quản tối ưu, đây là một yếu tố quan trọng cần cân nhắc trong dược lý học và chẩn đoán xét nghiệm.",PENDING,PENDING
enophthalmus,lõm mắt,n,  Enophthalmus can be a sign of orbital fracture or loss of orbital fat.  ,  Lõm mắt có thể là dấu hiệu của gãy xương ổ mắt hoặc mất mỡ ổ mắt.,PENDING,PENDING
impetiginization,chốc hóa,n," Scratching insect bites can lead to impetiginization, or chốc hóa of the lesions. "," Gãi vết côn trùng cắn có thể dẫn đến chốc hóa, hay sự lở hóa các tổn thương.",PENDING,PENDING
disinhibition,giải ức chế,n,  Certain therapeutic techniques aim for disinhibition of suppressed emotions.  ,  Một số kỹ thuật trị liệu nhằm mục đích giải ức chế những cảm xúc bị dồn nén.,PENDING,PENDING
hypesthesia,giảm cảm giác,n," Neuropathy can cause hypesthesia, a reduced sense of touch or sensation in the affected limb. "," Bệnh lý thần kinh có thể gây giảm cảm giác, tức là giảm cảm giác chạm hoặc cảm nhận ở chi bị ảnh hưởng.",PENDING,PENDING
mental deficiency,thiểu năng tâm thần,, Severe mental deficiency can significantly impact an individual's ability to live independently. , Thiểu năng tâm thần nặng có thể ảnh hưởng đáng kể đến khả năng sống độc lập của một cá nhân.,PENDING,PENDING
receptor antagonist,chất đối kháng thụ thể,n,"  A receptor antagonist is a type of drug that binds to a receptor but does not activate it, thereby blocking the action of an agonist or endogenous ligand at that same receptor. ","  Chất đối kháng thụ thể là một loại thuốc liên kết với thụ thể nhưng không kích hoạt nó, do đó ngăn chặn tác động của chất chủ vận hoặc phối tử nội sinh tại cùng thụ thể đó.",PENDING,PENDING
spectrophotometer,phổ quang kế,n,  A spectrophotometer measures the amount of light absorbed by a chemical substance at different wavelengths.  ,  Phổ quang kế đo lượng ánh sáng được hấp thụ bởi một chất hóa học ở các bước sóng khác nhau.,PENDING,PENDING
tetramazia,bốn vú,n,"  The rare congenital condition of tetramazia involves the development of four mammary glands, an anomaly that can occur in humans and other mammals due to errors in embryonic development of the mammary ridges.  ","  Tình trạng bẩm sinh hiếm gặp bốn vú liên quan đến sự phát triển của bốn tuyến vú, một dị tật có thể xảy ra ở người và các động vật có vú khác do lỗi trong quá trình phát triển phôi của các mào vú.",PENDING,PENDING
zero potential,điện thế bằng không,n ,"  In electrophysiology, a zero potential reference point is established, often using a distant electrode, against which the electrical potentials of active tissues like nerves or muscles are measured.  ","  Trong điện sinh lý học, một điểm tham chiếu điện thế bằng không được thiết lập, thường sử dụng một điện cực ở xa, để đo điện thế của các mô hoạt động như dây thần kinh hoặc cơ bắp.",PENDING,PENDING
exudative retinal detachment,bong võng mạc do rỉ dịch,n," An exudative retinal detachment occurs when fluid accumulates beneath the retina, causing it to separate from the underlying tissue, without a retinal tear or break. "," Bong võng mạc do rỉ dịch xảy ra khi dịch tích tụ bên dưới võng mạc, khiến nó tách ra khỏi mô bên dưới mà không có vết rách hoặc lỗ thủng võng mạc.",PENDING,PENDING
peginterferon,thuốc,n,"  Peginterferon is a modified form of interferon with a longer half-life, allowing for less frequent dosing.  ","  Peginterferon là một dạng interferon đã được biến đổi có thời gian bán hủy dài hơn, cho phép dùng thuốc với tần suất ít hơn; nó là một loại thuốc.",PENDING,PENDING
external axis of eyeball,trục ngoài mắt,n, The external axis of eyeball passes through the anterior and posterior poles of the eye. , Trục ngoài mắt đi qua cực trước và cực sau của mắt.,PENDING,PENDING
in tela,trong mô,Latin, The biopsy showed abnormal cells located in tela submucosa. , Sinh thiết cho thấy các tế bào bất thường nằm trong mô dưới niêm mạc.,PENDING,PENDING
cystadenoma,u tuyến nang,n,  A serous cystadenoma of the ovary is typically a benign cystic tumor.  ,  U tuyến nang thanh dịch của buồng trứng thường là một khối u nang lành tính.,PENDING,PENDING
official,theo quy định dược thư,a,  An official preparation of a drug is one that meets the standards set forth in the pharmacopeia. ,  Một chế phẩm thuốc theo quy định dược thư là chế phẩm đáp ứng các tiêu chuẩn được quy định trong dược điển.,PENDING,PENDING
adiadochokinesis,mất liên động,n, Difficulty with tasks like rapidly tapping fingers indicates adiadochokinesis. ,Khó khăn với các nhiệm vụ như gõ ngón tay nhanh chóng cho thấy mất liên động .,PENDING,PENDING
gid,sán óc,n,"  Gid, or coenurosis, is a parasitic disease in sheep caused by tapeworm larvae in the brain.  ","  Bệnh sán óc, hay bệnh coenurosis, là một bệnh ký sinh trùng ở cừu do ấu trùng sán dây trong não gây ra.",PENDING,PENDING
middle,tiểu động mạch điểm vàng giữa,n,  The middle macular arteriole supplies blood to the central region of the macula.  ,  Tiểu động mạch điểm vàng giữa cung cấp máu cho vùng trung tâm của điểm vàng.,PENDING,PENDING
suspension,dịch treo,n,"  Oral antibiotic suspension formulations are commonly prescribed for pediatric patients who have difficulty swallowing tablets or capsules, requiring careful measurement for accurate dosing.  ","  Các công thức dịch treo kháng sinh uống thường được kê đơn cho bệnh nhi gặp khó khăn khi nuốt viên nén hoặc viên nang, đòi hỏi phải đo lường cẩn thận để dùng thuốc chính xác.",PENDING,PENDING
mycoplasmosis,bệnh do chất nấm,n, Mycoplasmosis is a general term for any disease caused by Mycoplasma species. ,Bệnh do chất nấm là một thuật ngữ chung cho bất kỳ bệnh nào do các loài Mycoplasma gây ra.,PENDING,PENDING
lymphosarcoma,sacom lymphô,n,"  Lymphosarcoma, an older term for lymphoma, refers to a malignant tumor of lymphoid tissue.  ","  Sacom lymphô, một thuật ngữ cũ hơn cho u lympho, đề cập đến một khối u ác tính của mô bạch huyết.",PENDING,PENDING
thyrotrophic,hướng giáp,a,"  The thyrotrophic action of TSH stimulates nearly all aspects of thyroid gland function, including iodine uptake, hormone synthesis, and hormone release. ","  Tác động hướng giáp của TSH kích thích gần như tất cả các khía cạnh của chức năng tuyến giáp, bao gồm hấp thu iốt, tổng hợp hormone và giải phóng hormone.",PENDING,PENDING
splenoma,u lách,n," The inferior temporal retinal arteriole supplies blood to the lower temporal quadrant of the retina, and its occlusion can lead to significant visual field defects in that corresponding area. ","	Tiểu động mạch của vùng thái dương - võng mạc dưới cung cấp máu cho góc phần tư thái dương dưới của võng mạc, và sự tắc nghẽn của nó có thể dẫn đến các khiếm khuyết thị trường đáng kể trong vùng tương ứng đó.",PENDING,PENDING
nephrotome,khúc thận,n, A nephrotome is a segment of embryonic mesoderm from which parts of the kidney and gonad develop. , Khúc thận là một đoạn trung bì phôi mà từ đó các bộ phận của thận và tuyến sinh dục phát triển.,PENDING,PENDING
natalizumab,kháng thể đơn dòng trị đa xơ cứng,n, Natalizumab is a monoclonal antibody used in the treatment of multiple sclerosis and Crohn's disease. , Natalizumab là một kháng thể đơn dòng trị đa xơ cứng được sử dụng trong điều trị bệnh đa xơ cứng và bệnh Crohn.,PENDING,PENDING
nanukayami,leptospira bảy ngày,," Nanukayami is caused by Leptospira hebdomadis, a type of spirochete bacterium. "," Leptospira bảy ngày là do Leptospira hebdomadis, một loại vi khuẩn xoắn khuẩn gây ra.",PENDING,PENDING
monoblepsia,nhìn rõ bằng một mắt,n,"  Some individuals with amblyopia experience monoblepsia, where vision is clearer when using only the affected eye.  ",  Một số người bị nhược thị trải qua tình trạng nhìn rõ bằng một mắt bị ảnh hưởng hơn khi nhắm mắt còn lại.,PENDING,PENDING
dentinogenic,sinh ngà răng,a,  Dentinogenic cells are responsible for producing dentin.  ,  Các tế bào sinh ngà răng chịu trách nhiệm sản xuất ngà răng.,PENDING,PENDING
epicardial,lá tạng màng ngoài tim,a," During cardiac surgery, the surgeon must carefully handle the epicardial surface to avoid damage to the coronary arteries and the visceral layer of the pericardium that covers the heart. "," Trong phẫu thuật tim, bác sĩ phẫu thuật phải xử lý cẩn thận bề mặt lá tạng màng ngoài tim để tránh làm tổn thương các động mạch vành và lá tạng của màng ngoài tim bao bọc tim.",PENDING,PENDING
craniectomy,cắt bỏ xương sọ,n, Craniectomy involves the surgical removal of a portion of the skull. , Cắt bỏ xương sọ bao gồm việc phẫu thuật cắt bỏ một phần của hộp sọ.,PENDING,PENDING
articulate,điều chỉnh ăn khớp răng,v, The dentist will articulate the dental casts to simulate the patient's bite. , Nha sĩ sẽ điều chỉnh ăn khớp răng các mẫu hàm để mô phỏng khớp cắn của bệnh nhân.,PENDING,PENDING
laryngeal joints,khớp thanh quản,n,  The cricothyroid and cricoarytenoid joints are the principal laryngeal joints that allow for movement of the vocal cords.  ,  Khớp nhẫn giáp và khớp nhẫn phễu là những khớp thanh quản chính cho phép sự chuyển động của dây thanh âm.,PENDING,PENDING
cyesthein,vảy nước tiểu thai phụ,n,"  Historically, the term cyesthein referred to a film observed on the urine of pregnant women.  ","  Trong lịch sử, thuật ngữ vảy nước tiểu thai phụ dùng để chỉ một lớp màng quan sát được trên nước tiểu của phụ nữ mang thai.",PENDING,PENDING
cystolithectomy,lấy sỏi bàng quang,n,  Cystolithectomy is the surgical removal of bladder stones.  ,  Lấy sỏi bàng quang là phẫu thuật cắt bỏ sỏi bàng quang.,PENDING,PENDING
galactic,lợi sữa,"n,a",  Fenugreek is a well-known herb with galactic properties.  ,  Cỏ cà ri là một loại thảo mộc nổi tiếng có đặc tính lợi sữa.,PENDING,PENDING
cryothalamectomy,hủy đồi não bằng đông lạnh,n," Cryothalamectomy, the destruction of a portion of the thalamus by freezing, has been used to treat movement disorders. "," Hủy đồi não bằng đông lạnh, sự phá hủy một phần của đồi thị bằng cách đông lạnh, đã được sử dụng để điều trị các rối loạn vận động.",PENDING,PENDING
anophoria,lác ẩn trên,n,Anophoria is a type of heterophoria where there is an upward deviation tendency of one eye relative to the other when binocular vision is disrupted.,Lác ẩn trên là một loại lác ẩn trong đó có xu hướng lệch lên trên của một mắt so với mắt kia khi thị giác hai mắt bị gián đoạn.,PENDING,PENDING
fructan,chuỗi fructose nhỏ,n,"  Dietary fructan intolerance can cause symptoms like bloating, gas, and abdominal pain in sensitive individuals.  ","  Không dung nạp chuỗi fructose nhỏ (fructan) trong chế độ ăn uống có thể gây ra các triệu chứng như đầy hơi, xì hơi và đau bụng ở những người nhạy cảm.",PENDING,PENDING
ecstasy,trạng thái xuất thần nhập định,n," Mystics across various traditions have described moments of ecstasy, profound spiritual experiences characterized by altered consciousness and a sense of divine connection, often referred to as a trạng thái xuất thần nhập định. ","Các nhà thần bí học qua nhiều truyền thống khác nhau đã mô tả những khoảnh khắc xuất thần nhập định , những trải nghiệm tâm linh sâu sắc được đặc trưng bởi ý thức thay đổi và cảm giác kết nối thiêng liêng.",PENDING,PENDING
uloglossitis,viêm lợi lưỡi,, Uloglossitis is an inflammation that affects both the gums and the tongue. , Viêm lợi lưỡi là một tình trạng viêm ảnh hưởng đến cả lợi và lưỡi.,PENDING,PENDING
fecal,phân,a,"  A fecal occult blood test can detect hidden blood in the stool, which may be a sign of colorectal cancer.  ","  Xét nghiệm máu ẩn trong phân có thể phát hiện máu ẩn trong phân, đây có thể là dấu hiệu của ung thư đại trực tràng.",PENDING,PENDING
pyopericardium,tràn mủ màng ngoài tim,n,  Pyopericardium refers to the presence of pus in the pericardial cavity.  ,  Tràn mủ màng ngoài tim đề cập đến sự hiện diện của mủ trong khoang màng ngoài tim.,PENDING,PENDING
hydropic,phù,a," The patient's legs were hydropic, swollen with excess fluid due to heart failure. "," Chân của bệnh nhân bị phù, sưng lên vì thừa dịch do suy tim.",PENDING,PENDING
zoophilic,thích đốt súc vật hơn người,a,"  Mosquito species that are highly zoophilic primarily seek blood meals from animals, and their vectorial capacity for human diseases may be lower unless animal hosts become scarce or human populations are in close proximity.  ","  Các loài muỗi thích đốt súc vật hơn người (zoophilic) chủ yếu tìm kiếm bữa ăn máu từ động vật, và khả năng truyền bệnh cho người của chúng có thể thấp hơn trừ khi vật chủ động vật trở nên khan hiếm hoặc quần thể người ở gần.",PENDING,PENDING
caffeine benzoate,caffein benzoat,n, Caffeine benzoate is a combination of caffeine and sodium benzoate. , Caffein benzoat là sự kết hợp của caffein và natri benzoat.,PENDING,PENDING
Ruggeri reflex,phản xạ Ruggeri,n,"  The Ruggeri reflex, an oculocardiac reflex variant, describes a change in heart rate (usually slowing) that can be elicited by pressure on the eyeball or by traction on the extraocular muscles during ophthalmic surgery.  ","  Phản xạ Ruggeri, một biến thể của phản xạ mắt-tim, mô tả sự thay đổi nhịp tim (thường là chậm lại) có thể được gây ra bởi áp lực lên nhãn cầu hoặc do kéo các cơ ngoài nhãn cầu trong quá trình phẫu thuật mắt.",PENDING,PENDING
bodies of Arantius,hòn Arantius,n, The bodies of Arantius are small nodules on the semilunar valves of the heart. ,  Hòn Arantius là những nốt nhỏ trên van bán nguyệt của tim.,PENDING,PENDING
vacuum curettage,nong và hút thai,, Vacuum curettage is a common and safe method for early termination of pregnancy. , Nong và hút thai là một phương pháp phá thai sớm phổ biến và an toàn.,PENDING,PENDING
tracheoplasty,tạo hình khí quản,n,"  Complex tracheal stenosis resulting from prolonged intubation often requires sophisticated tracheoplasty techniques, such as resection and end-to-end anastomosis or a slide tracheoplasty, to restore airway patency. ","  Hẹp khí quản phức tạp do đặt nội khí quản kéo dài thường đòi hỏi các kỹ thuật tạo hình khí quản tinh vi, chẳng hạn như cắt bỏ và nối tận-tận hoặc tạo hình khí quản kiểu trượt, để phục hồi sự thông thoáng của đường thở.",PENDING,PENDING
extinguish,dập tắt,v, The fire department was called to extinguish the blaze at the chemical plant. , Đội cứu hỏa đã được gọi đến để dập tắt đám cháy tại nhà máy hóa chất.,PENDING,PENDING
cancerous,ung thư,a,"  A cancerous tumor is malignant, meaning it can invade and spread to other parts of the body.  ","  Một khối u ung thư là ác tính, có nghĩa là nó có thể xâm lấn và di căn đến các bộ phận khác của cơ thể.",PENDING,PENDING
intraluminal,trong lòng ống,a,  An intraluminal thrombus can obstruct blood flow in an artery.  ,  Cục máu đông trong lòng ống có thể làm tắc nghẽn dòng máu trong động mạch.,PENDING,PENDING
raticide,diệt chuột,n,"  The use of a potent raticide, such as brodifacoum, requires extreme caution due to its high toxicity to non-target species, including pets and wildlife, and the risk of secondary poisoning. ","  Việc sử dụng một chất diệt chuột mạnh, chẳng hạn như brodifacoum, đòi hỏi phải hết sức thận trọng do độc tính cao của nó đối với các loài không phải mục tiêu, bao gồm vật nuôi và động vật hoang dã, và nguy cơ ngộ độc thứ cấp.",PENDING,PENDING
corset,yêm,n, A back corset can provide support and relieve pain for individuals with certain spinal conditions. , Yếm lưng có thể hỗ trợ và giảm đau cho những người mắc một số bệnh lý cột sống nhất định.,PENDING,PENDING
cross-reactivation,tái hoạt hóa chéo,n," Cross-reactivation can occur when a cell is co-infected with two related viruses, one active and one inactivated. "," Tái hoạt hóa chéo có thể xảy ra khi một tế bào bị đồng nhiễm hai loại vi rút có liên quan, một loại hoạt động và một loại bất hoạt.",PENDING,PENDING
perivascular,quanh huyết quản,a," Microscopic examination of the biopsy showed significant inflammatory cell infiltration in the perivascular connective tissue, suggesting a vasculitic process affecting the small blood vessels. "," Khám nghiệm vi thể mẫu sinh thiết cho thấy sự thâm nhiễm tế bào viêm đáng kể trong mô liên kết quanh huyết quản, gợi ý một quá trình viêm mạch ảnh hưởng đến các mạch máu nhỏ.",PENDING,PENDING
Bairnsdale ulcer,loét Bairnsdale,n,Bairnsdale ulcer requires prolonged antibiotic treatment and sometimes surgery to manage the extensive skin necrosis.,Loét Bairnsdale đòi hỏi điều trị kháng sinh kéo dài và đôi khi cần phẫu thuật để kiểm soát tình trạng hoại tử da lan rộng.,PENDING,PENDING
radiosensitiveness,nhạy cảm phóng xạ,n, The radiosensitiveness of a tumor determines how well it will respond to radiation therapy. , Độ nhạy cảm phóng xạ của khối u quyết định mức độ đáp ứng của nó với xạ trị.,PENDING,PENDING
saddle-back nose,mũi gãy,n," Trauma, infections like syphilis, or autoimmune diseases such as relapsing polychondritis can lead to a saddle-back nose, characterized by a depressed nasal bridge due to loss of septal support. "," Chấn thương, các bệnh nhiễm trùng như giang mai, hoặc các bệnh tự miễn như viêm đa sụn tái phát có thể dẫn đến mũi gãy, đặc trưng bởi sống mũi bị lõm xuống do mất sự nâng đỡ của vách ngăn.",PENDING,PENDING
fertile,phì nhiêu,a,  A woman's most fertile years are typically in her 20s and early 30s.  ,  Những năm phì nhiêu nhất của một người phụ nữ thường là ở độ tuổi 20 và đầu 30.,PENDING,PENDING
negativism,kháng cự,n,  The patient exhibited negativism by actively resisting the physical therapist's efforts to help him sit up.  ,  Bệnh nhân biểu hiện sự kháng cự bằng cách tích cực chống lại nỗ lực của nhà vật lý trị liệu để giúp anh ta ngồi dậy.,PENDING,PENDING
